ronde,speler_id,speler,club,behaald
6,rafik-el-arguioui,Rafik El Arguioui,SC Cambuur,30.0
6,rik-mulders,Rik Mulders,SC Cambuur,-2.0
6,wiebe-van-der-heide,Wiebe van der Heide,SC Cambuur,0.0
6,bas-kuipers,Bas Kuipers,Sparta Rotterdam,10.0
6,boyd-reith,Boyd Reith,Sparta Rotterdam,0.0
6,bruno-martins-indi,Bruno Martins Indi,Sparta Rotterdam,2.0
6,lushendry-edward-martes,Lushendry Martes,Sparta Rotterdam,2.0
6,marvin-young,Marvin Young,Sparta Rotterdam,25.0
6,nick-verschuren,Nick Verschuren,Sparta Rotterdam,15.0
6,teo-quintero,Teo Quintero,Sparta Rotterdam,4.0
6,andrej-kostic,Andrej Kostic,Sparta Rotterdam,1.0
6,casper-terho,Casper Terho,Sparta Rotterdam,2.0
6,giannino-vianello,Giannino Vianello,Sparta Rotterdam,0.0
6,joel-ideho,Joel Ideho,Sparta Rotterdam,3.0
6,milan-zonneveld,Milan Zonneveld,Sparta Rotterdam,25.0
6,mitchell-van-bergen,Mitchell van Bergen,Sparta Rotterdam,4.0
6,filip-bednarek,Filip Bednarek,Sparta Rotterdam,4.0
6,michael-brouwer,Michael Brouwer,Sparta Rotterdam,1.0
6,pascal-kuiper,Pascal Kuiper,Sparta Rotterdam,0.0
6,rik-suur,Rik Suur,Sparta Rotterdam,0.0
6,ayoni-santos,Ayoni Santos,Sparta Rotterdam,4.0
6,cedric-hatenboer,Cedric Hatenboer,Sparta Rotterdam,1.0
6,jens-toornstra,Jens Toornstra,Sparta Rotterdam,1.0
6,julian-baas,Julian Baas,Sparta Rotterdam,8.0
6,robin-van-cruijsen,Robin van Cruijsen,Sparta Rotterdam,12.0
6,shunsuke-mito,Shunsuke Mito,Sparta Rotterdam,11.0
6,abdelnour-soualhia,Abdelnour Soualhia,Telstar,12.0
6,gerald-alders,Gerald Alders,Telstar,4.0
6,jeff-hardeveld,Jeff Hardeveld,Telstar,4.0
6,marvin-peersman,Marvin Peersman,Telstar,1.0
6,nigel-ogidi-nwankwo,Nigel Ogidi Nwankwo,Telstar,0.0
6,prince-aning,Prince Aning,Telstar,8.0
6,sem-valk,Sem Valk,Telstar,-2.0
6,emirhan-demircan,Emirhan Demircan,Telstar,3.0
6,fabiano-rust,Fabiano Rust,Telstar,0.0
6,fofin-turay,Fofin Turay,Telstar,0.0
6,jelani-seedorf,Jelani Seedorf,Telstar,4.0
6,patrick-brouwer,Patrick Brouwer,Telstar,12.0
6,rui-mendes,Rui Mendes,Telstar,7.0
6,daan-reiziger,Daan Reiziger,Telstar,0.0
6,finn-mulder,Finn Mulder,Telstar,0.0
6,ronald-koeman-jr,Ronald Koeman,Telstar,9.0
6,gabi-caschili,Gabi Caschili,Telstar,3.0
6,harrie-kuster,Harrie Kuster,Telstar,1.0
6,isaiah-ahmed,Isaiah Ahmed,Telstar,0.0
6,nils-rossen,Nils Rossen,Telstar,4.0
6,noach-shenkman,Noach Shenkman,Telstar,4.0
6,rojendro-oudsten,Rojendro Oudsten,Telstar,1.0
6,tyrone-owusu,Tyrone Owusu,Telstar,4.0
6,alessandro-ciranni,Alessandro Ciranni,Willem II,2.0
6,amine-et-taibi,Amine Et-Taïbi,Willem II,1.0
6,finn-stam,Finn Stam,Willem II,2.0
6,hidde-ter-avest,Hidde ter Avest,Willem II,6.0
6,jens-mathijsen,Jens Mathijsen,Willem II,0.0
6,justin-hoogma,Justin Hoogma,Willem II,1.0
6,mats-lemmens,Mats Lemmens,Willem II,1.0
6,nathan-tjoe-a-on,Nathan Tjoe-A-On,Willem II,7.0
6,devin-haen,Devin Haen,Willem II,20.0
6,eser-gurbuz,Eser Gürbüz,Willem II,1.0
6,jaden-slory,Jaden Slory,Willem II,-1.0
6,thomas-verheydt,Thomas Verheydt,Willem II,8.0
6,karst-de-leeuw,Karst de Leeuw,Willem II,1.0
6,maxime-delanghe,Maxime Delanghe,Willem II,1.0
6,thomas-didillon-hodl,Thomas Didillon-Hödl,Willem II,0.0
6,wouter-van-der-steen,Wouter van der Steen,Willem II,0.0
6,calvin-twigt,Calvin Twigt,Willem II,9.0
6,kasper-boogaard,Kasper Boogaard,Willem II,-1.0
6,per-van-loon,Per van Loon,Willem II,2.0
6,tonny-vilhena,Tonny Vilhena,Willem II,-2.0
6,uriel-van-aalst,Uriël van Aalst,Willem II,13.0
6,vito-van-crooij,Vito van Crooij,Willem II,0.0
6,darling-bladi,Darling Bladi,sc Heerenveen,6.0
6,hristiyan-petrov,Hristiyan Petrov,sc Heerenveen,7.0
6,maas-willemsen,Maas Willemsen,sc Heerenveen,8.0
6,mats-egbring,Mats Egbring,sc Heerenveen,6.0
6,oliver-braude,Oliver Braude,sc Heerenveen,12.0
6,sam-kersten,Sam Kersten,sc Heerenveen,12.0
6,vasilios-zagaritis,Vasilios Zagaritis,sc Heerenveen,8.0
6,dylan-vente,Dylan Vente,sc Heerenveen,9.0
6,jacob-trenskow,Jacob Trenskow,sc Heerenveen,16.0
6,kirayno-schaken,Kirayno Schaken,sc Heerenveen,11.0
6,lanroy-machine,Lanroy Machine,sc Heerenveen,4.0
6,marko-farji,Marko Farji,sc Heerenveen,0.0
6,maxence-rivera,Maxence Rivera,sc Heerenveen,8.0
6,andries-noppert,Andries Noppert,sc Heerenveen,0.0
6,bernt-klaverboer,Bernt Klaverboer,sc Heerenveen,10.0
6,t-schreuder,Timo Schreuder,sc Heerenveen,0.0
6,dirk-proper,Dirk Proper,sc Heerenveen,5.0
6,levi-smans,Levi Smans,sc Heerenveen,4.0
6,luca-oyen,Luca Oyen,sc Heerenveen,10.0
6,marcus-linday,Marcus Linday,sc Heerenveen,1.0
6,nolhan-courtens,Nolhan Courtens,sc Heerenveen,9.0
6,ringo-meerveld,Ringo Meerveld,sc Heerenveen,13.0
6,donat-barany,Donát Bárány,ADO Den Haag,0.0
6,tomas-galvez,Tomas Galvez,Go Ahead Eagles,0.0
7,illaijh-de-ruijter,Illaijh de Ruijter,ADO Den Haag,1.0
7,jonas-jensen-abbew,Jonas Jensen-Abbew,ADO Den Haag,0.0
7,lasse-wilhelm,Lasse Wilhelm,ADO Den Haag,0.0
7,matteo-waem,Matteo Waem,ADO Den Haag,1.0
7,milan-hokke,Milan Hokke,ADO Den Haag,5.0
7,othniel-raterink,Othniël Raterink,ADO Den Haag,1.0
7,pascal-mulder,Pascal Mulder,ADO Den Haag,-2.0
7,sekou-sylla,Sekou Sylla,ADO Den Haag,8.0
7,dani-van-loenen,Dani van Loenen,ADO Den Haag,0.0
7,daryl-van-mieghem,Daryl van Mieghem,ADO Den Haag,1.0
7,donat-barany,Donát Bárány,ADO Den Haag,0.0
7,evan-rottier,Evan Rottier,ADO Den Haag,5.0
7,jalen-hawkins,Jalen Hawkins,ADO Den Haag,-2.0
7,jesse-bal,Jesse Bal,ADO Den Haag,7.0
7,luka-reischl,Luka Reischl,ADO Den Haag,0.0
7,yannick-eduardo,Yannick Eduardo,ADO Den Haag,13.0
7,caleb-kramer,Caleb Kramer,ADO Den Haag,0.0
7,kilian-nikiema,Kilian Nikièma,ADO Den Haag,1.0
7,niclas-thiede,Niclas Thiede,ADO Den Haag,0.0
