team,speler,positie,prijs,speler_id,rol,nieuw,blessure,behaald,verwacht
Fortuna Sittard,Edouard Michut,Midfielder,1.50,edouard-michut,,0,,21.0,3.64
Fortuna Sittard,Gani Buyukhan,Midfielder,1.20,gani-buyukhan,,0,,1.0,2.809
Fortuna Sittard,Mohamed Ihattaren,Midfielder,2.00,mohamed-ihattaren,bank,0,,40.0,2.285
Fortuna Sittard,Moussa Gbemou,Midfielder,1.00,moussa-gbemou,,0,,1.0,2.531
Fortuna Sittard,Nick de Groot,Midfielder,1.20,nick-de-groot,,0,,10.0,2.379
Fortuna Sittard,Philip Brittijn,Midfielder,1.50,philip-brittijn,,0,,15.0,3.41
Fortuna Sittard,Shiloh 't Zand,Midfielder,1.50,shiloh-t-zand,,1,,14.0,1.375
Fortuna Sittard,Sven Simons,Midfielder,1.20,sven-simons,,0,,,1.648
Fortuna Sittard,Yassin Oukili,Midfielder,1.50,yassin-oukili,,0,,10.0,3.426
Go Ahead Eagles,Alfons Sampsted,Defender,1.80,alfons-sampsted,,0,,13.0,1.536
Go Ahead Eagles,Dean James,Defender,1.80,dean-james,,0,,10.0,3.391
Go Ahead Eagles,Eus Waayers,Defender,1.20,eus-waayers,,0,,0.0,3.135
Go Ahead Eagles,Gerrit Nauber,Defender,1.80,gerrit-nauber,,0,,,1.552
Go Ahead Eagles,Giovanni van Zwam,Defender,1.50,giovanni-van-zwam,,0,,8.0,1.377
Go Ahead Eagles,Joris Kramer,Defender,2.00,joris-kramer,,0,,6.0,3.775
Go Ahead Eagles,Julius Dirksen,Defender,1.50,julius-dirksen,,0,,12.0,1.953
Go Ahead Eagles,Pim Saathof,Defender,1.00,pim-saathof,,1,,,3.37
Go Ahead Eagles,Terence Lantveld,Defender,1.00,terence-lantveld,,1,,0.0,1.448
Go Ahead Eagles,Tino Jukic,Defender,1.80,tino-jukic,,1,,0.0,1.889
Go Ahead Eagles,Tomas Galvez,Defender,1.50,tomas-galvez,,0,duur onbekend,0.0,1.09
Go Ahead Eagles,Dani Tijman,Forward,1.00,dani-tijman,,1,,0.0,2.923
Go Ahead Eagles,Erik Flataker,Forward,1.80,erik-flataker,,1,,14.0,2.801
Go Ahead Eagles,Mathis Suray,Forward,2.20,mathis-suray,,0,,31.0,1.416
Go Ahead Eagles,Ofosu Boakye,Forward,1.00,ofosu-boakye,,0,,0.0,3.507
Go Ahead Eagles,Oskar Sivertsen,Forward,1.20,oskar-sivertsen,,0,,5.0,2.773
Go Ahead Eagles,Richonell Margaret,Forward,1.50,richonell-margaret,,0,,4.0,2.669
Go Ahead Eagles,Stefán Ingi Sigurdarson,Forward,1.80,stefan-ingi-sigurdarson,,0,,23.0,3.197
Go Ahead Eagles,Søren Tengstedt,Forward,1.80,sren-tengstedt,,0,,55.0,2.14
Go Ahead Eagles,Thibo Baeten,Forward,1.50,thibo-baeten,,0,,9.0,1.391
Go Ahead Eagles,Victor Edvardsen,Forward,2.00,victor-edvardsen,,0,,39.0,1.894
Go Ahead Eagles,Kjetil Haug,Goalkeeper,1.50,kjetil-haug,,1,,9.0,3.099
Go Ahead Eagles,Nando Verdoni,Goalkeeper,1.00,nando-verdoni,,1,,0.0,1.246
Go Ahead Eagles,Nick Marsman,Goalkeeper,1.50,sasha-panah,,1,duur onbekend,0.0,2.795
Go Ahead Eagles,Thomas Hulleman,Goalkeeper,1.00,thomas-hulleman,,1,,0.0,1.167
Go Ahead Eagles,Evert Linthorst,Midfielder,1.50,evert-linthorst,,0,,12.0,1.813
Go Ahead Eagles,Melle Meulensteen,Midfielder,1.80,melle-meulensteen,,0,,19.0,1.985
Go Ahead Eagles,Robbin Weijenberg,Midfielder,1.20,robbin-weijenberg,,0,,0.0,2.423
Go Ahead Eagles,Yassir Salah Rahmouni,Midfielder,1.20,yassir-salah-rahmouni,,0,,2.0,2.485
NEC,Ahmetcan Kaplan,Defender,2.00,ahmetcan-kaplan,,0,,,2.029
NEC,Almugera Kabar,Defender,1.80,almugera-kabar,,0,,0.0,3.155
NEC,Bram Nuytinck,Defender,1.80,bram-nuytinck,,0,duur onbekend,7.0,1.384
NEC,Deveron Fonville,Defender,2.00,deveron-fonville,,0,duur onbekend,6.0,3.68
NEC,Gabriel Brás,Defender,1.80,gabriel-bras,,1,,1.0,3.239
NEC,Perr Schuurs,Defender,2.00,p-schuurs,,1,,18.0,3.557
NEC,Philippe Sandler,Defender,2.00,philippe-sandler,,0,,-2.0,2.075
NEC,Tobias Storm,Defender,1.80,t-storm,,1,,1.0,1.305
NEC,Ayodele Thomas,Forward,1.80,ayodele-thomas,,0,,1.0,2.771
